,Yields,Predicted Yields
0,GOOD YIELD,GOOD YIELD
1,GOOD YIELD,AVERAGE YIELD
2,POOR YIELD,BELOW AVERAGE YIELD
3,BELOW AVERAGE YIELD,GOOD YIELD
4,POOR YIELD,GOOD YIELD
5,GOOD YIELD,AVERAGE YIELD
6,AVERAGE YIELD,AVERAGE YIELD
7,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
8,POOR YIELD,POOR YIELD
9,AVERAGE YIELD,GOOD YIELD
10,POOR YIELD,BELOW AVERAGE YIELD
11,AVERAGE YIELD,AVERAGE YIELD
12,GOOD YIELD,BELOW AVERAGE YIELD
13,GOOD YIELD,BELOW AVERAGE YIELD
14,GOOD YIELD,GOOD YIELD
15,GOOD YIELD,BELOW AVERAGE YIELD
16,POOR YIELD,AVERAGE YIELD
17,GOOD YIELD,GOOD YIELD
18,BELOW AVERAGE YIELD,GOOD YIELD
19,GOOD YIELD,GOOD YIELD
20,GOOD YIELD,GOOD YIELD
21,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
22,GOOD YIELD,AVERAGE YIELD
23,BELOW AVERAGE YIELD,POOR YIELD
24,BELOW AVERAGE YIELD,POOR YIELD
25,GOOD YIELD,AVERAGE YIELD
26,GOOD YIELD,GOOD YIELD
27,AVERAGE YIELD,POOR YIELD
28,POOR YIELD,POOR YIELD
29,POOR YIELD,GOOD YIELD
30,GOOD YIELD,GOOD YIELD
31,GOOD YIELD,GOOD YIELD
32,GOOD YIELD,GOOD YIELD
33,BELOW AVERAGE YIELD,GOOD YIELD
34,AVERAGE YIELD,GOOD YIELD
35,POOR YIELD,POOR YIELD
36,AVERAGE YIELD,AVERAGE YIELD
37,GOOD YIELD,GOOD YIELD
38,AVERAGE YIELD,GOOD YIELD
39,AVERAGE YIELD,AVERAGE YIELD
40,BELOW AVERAGE YIELD,POOR YIELD
41,GOOD YIELD,GOOD YIELD
42,AVERAGE YIELD,GOOD YIELD
43,POOR YIELD,POOR YIELD
44,POOR YIELD,POOR YIELD
45,AVERAGE YIELD,GOOD YIELD
46,POOR YIELD,POOR YIELD
47,POOR YIELD,POOR YIELD
48,BELOW AVERAGE YIELD,AVERAGE YIELD
49,AVERAGE YIELD,AVERAGE YIELD
50,AVERAGE YIELD,GOOD YIELD
51,BELOW AVERAGE YIELD,AVERAGE YIELD
52,AVERAGE YIELD,GOOD YIELD
53,BELOW AVERAGE YIELD,GOOD YIELD
54,POOR YIELD,GOOD YIELD
55,GOOD YIELD,GOOD YIELD
56,AVERAGE YIELD,GOOD YIELD
57,GOOD YIELD,GOOD YIELD
58,GOOD YIELD,POOR YIELD
59,POOR YIELD,AVERAGE YIELD
60,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
61,BELOW AVERAGE YIELD,GOOD YIELD
62,AVERAGE YIELD,GOOD YIELD
63,GOOD YIELD,GOOD YIELD
64,GOOD YIELD,AVERAGE YIELD
65,GOOD YIELD,BELOW AVERAGE YIELD
66,POOR YIELD,POOR YIELD
67,POOR YIELD,POOR YIELD
68,BELOW AVERAGE YIELD,GOOD YIELD
69,AVERAGE YIELD,AVERAGE YIELD
70,POOR YIELD,POOR YIELD
71,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
