,Yields,Predicted Yields
72,GOOD YIELD,GOOD YIELD
73,POOR YIELD,GOOD YIELD
74,AVERAGE YIELD,GOOD YIELD
75,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
76,POOR YIELD,POOR YIELD
77,BELOW AVERAGE YIELD,GOOD YIELD
78,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
79,POOR YIELD,GOOD YIELD
80,AVERAGE YIELD,AVERAGE YIELD
81,POOR YIELD,GOOD YIELD
82,BELOW AVERAGE YIELD,AVERAGE YIELD
83,GOOD YIELD,POOR YIELD
84,POOR YIELD,POOR YIELD
85,BELOW AVERAGE YIELD,AVERAGE YIELD
86,BELOW AVERAGE YIELD,POOR YIELD
87,AVERAGE YIELD,GOOD YIELD
88,AVERAGE YIELD,BELOW AVERAGE YIELD
89,GOOD YIELD,AVERAGE YIELD
90,GOOD YIELD,GOOD YIELD
91,BELOW AVERAGE YIELD,GOOD YIELD
92,GOOD YIELD,GOOD YIELD
93,AVERAGE YIELD,AVERAGE YIELD
94,GOOD YIELD,AVERAGE YIELD
95,GOOD YIELD,GOOD YIELD
96,POOR YIELD,POOR YIELD
97,BELOW AVERAGE YIELD,AVERAGE YIELD
98,GOOD YIELD,AVERAGE YIELD
99,GOOD YIELD,AVERAGE YIELD
100,AVERAGE YIELD,GOOD YIELD
101,BELOW AVERAGE YIELD,POOR YIELD
102,POOR YIELD,POOR YIELD
103,AVERAGE YIELD,POOR YIELD
104,POOR YIELD,GOOD YIELD
105,GOOD YIELD,GOOD YIELD
106,POOR YIELD,GOOD YIELD
107,AVERAGE YIELD,POOR YIELD
108,GOOD YIELD,GOOD YIELD
109,POOR YIELD,POOR YIELD
110,GOOD YIELD,POOR YIELD
111,POOR YIELD,AVERAGE YIELD
112,GOOD YIELD,GOOD YIELD
113,AVERAGE YIELD,GOOD YIELD
114,AVERAGE YIELD,BELOW AVERAGE YIELD
115,AVERAGE YIELD,GOOD YIELD
116,BELOW AVERAGE YIELD,POOR YIELD
117,BELOW AVERAGE YIELD,POOR YIELD
118,GOOD YIELD,GOOD YIELD
119,GOOD YIELD,GOOD YIELD
120,GOOD YIELD,GOOD YIELD
121,POOR YIELD,BELOW AVERAGE YIELD
122,AVERAGE YIELD,AVERAGE YIELD
123,POOR YIELD,GOOD YIELD
124,AVERAGE YIELD,GOOD YIELD
125,GOOD YIELD,GOOD YIELD
126,GOOD YIELD,GOOD YIELD
127,GOOD YIELD,AVERAGE YIELD
128,AVERAGE YIELD,GOOD YIELD
129,POOR YIELD,POOR YIELD
130,POOR YIELD,AVERAGE YIELD
131,POOR YIELD,POOR YIELD
132,GOOD YIELD,GOOD YIELD
133,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
134,AVERAGE YIELD,POOR YIELD
135,GOOD YIELD,GOOD YIELD
136,POOR YIELD,GOOD YIELD
137,BELOW AVERAGE YIELD,AVERAGE YIELD
138,BELOW AVERAGE YIELD,POOR YIELD
139,POOR YIELD,GOOD YIELD
140,BELOW AVERAGE YIELD,AVERAGE YIELD
141,GOOD YIELD,BELOW AVERAGE YIELD
142,BELOW AVERAGE YIELD,GOOD YIELD
143,POOR YIELD,GOOD YIELD
144,POOR YIELD,POOR YIELD
145,GOOD YIELD,GOOD YIELD
146,BELOW AVERAGE YIELD,GOOD YIELD
147,BELOW AVERAGE YIELD,GOOD YIELD
148,POOR YIELD,POOR YIELD
149,GOOD YIELD,GOOD YIELD
150,POOR YIELD,POOR YIELD
151,BELOW AVERAGE YIELD,POOR YIELD
152,GOOD YIELD,GOOD YIELD
153,GOOD YIELD,GOOD YIELD
154,GOOD YIELD,GOOD YIELD
155,BELOW AVERAGE YIELD,AVERAGE YIELD
156,GOOD YIELD,GOOD YIELD
157,AVERAGE YIELD,GOOD YIELD
158,GOOD YIELD,BELOW AVERAGE YIELD
159,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
160,BELOW AVERAGE YIELD,POOR YIELD
161,BELOW AVERAGE YIELD,GOOD YIELD
162,POOR YIELD,GOOD YIELD
163,POOR YIELD,POOR YIELD
164,GOOD YIELD,GOOD YIELD
165,POOR YIELD,GOOD YIELD
166,POOR YIELD,GOOD YIELD
167,AVERAGE YIELD,GOOD YIELD
168,GOOD YIELD,AVERAGE YIELD
169,AVERAGE YIELD,GOOD YIELD
170,POOR YIELD,POOR YIELD
171,GOOD YIELD,BELOW AVERAGE YIELD
172,POOR YIELD,GOOD YIELD
173,GOOD YIELD,AVERAGE YIELD
174,AVERAGE YIELD,BELOW AVERAGE YIELD
175,BELOW AVERAGE YIELD,AVERAGE YIELD
176,GOOD YIELD,GOOD YIELD
177,BELOW AVERAGE YIELD,AVERAGE YIELD
178,GOOD YIELD,BELOW AVERAGE YIELD
179,AVERAGE YIELD,AVERAGE YIELD
180,AVERAGE YIELD,AVERAGE YIELD
181,GOOD YIELD,BELOW AVERAGE YIELD
182,BELOW AVERAGE YIELD,POOR YIELD
183,POOR YIELD,GOOD YIELD
184,POOR YIELD,POOR YIELD
185,BELOW AVERAGE YIELD,AVERAGE YIELD
186,GOOD YIELD,AVERAGE YIELD
187,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
188,GOOD YIELD,GOOD YIELD
189,POOR YIELD,POOR YIELD
190,GOOD YIELD,GOOD YIELD
191,GOOD YIELD,GOOD YIELD
192,AVERAGE YIELD,AVERAGE YIELD
193,GOOD YIELD,GOOD YIELD
194,GOOD YIELD,GOOD YIELD
195,GOOD YIELD,AVERAGE YIELD
196,AVERAGE YIELD,GOOD YIELD
197,POOR YIELD,BELOW AVERAGE YIELD
198,AVERAGE YIELD,GOOD YIELD
199,POOR YIELD,GOOD YIELD
200,AVERAGE YIELD,GOOD YIELD
201,GOOD YIELD,GOOD YIELD
202,AVERAGE YIELD,AVERAGE YIELD
203,BELOW AVERAGE YIELD,GOOD YIELD
204,GOOD YIELD,BELOW AVERAGE YIELD
205,BELOW AVERAGE YIELD,AVERAGE YIELD
206,POOR YIELD,GOOD YIELD
207,POOR YIELD,GOOD YIELD
208,AVERAGE YIELD,BELOW AVERAGE YIELD
209,GOOD YIELD,AVERAGE YIELD
210,POOR YIELD,GOOD YIELD
211,GOOD YIELD,GOOD YIELD
212,AVERAGE YIELD,AVERAGE YIELD
213,AVERAGE YIELD,BELOW AVERAGE YIELD
214,AVERAGE YIELD,GOOD YIELD
215,POOR YIELD,POOR YIELD
216,POOR YIELD,POOR YIELD
217,AVERAGE YIELD,AVERAGE YIELD
218,GOOD YIELD,GOOD YIELD
219,POOR YIELD,BELOW AVERAGE YIELD
220,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
221,POOR YIELD,AVERAGE YIELD
222,AVERAGE YIELD,BELOW AVERAGE YIELD
223,GOOD YIELD,POOR YIELD
224,GOOD YIELD,GOOD YIELD
225,GOOD YIELD,POOR YIELD
226,POOR YIELD,AVERAGE YIELD
227,GOOD YIELD,GOOD YIELD
228,POOR YIELD,POOR YIELD
229,GOOD YIELD,POOR YIELD
230,BELOW AVERAGE YIELD,POOR YIELD
231,BELOW AVERAGE YIELD,AVERAGE YIELD
232,BELOW AVERAGE YIELD,GOOD YIELD
233,AVERAGE YIELD,GOOD YIELD
234,AVERAGE YIELD,GOOD YIELD
235,POOR YIELD,POOR YIELD
236,GOOD YIELD,GOOD YIELD
237,GOOD YIELD,BELOW AVERAGE YIELD
238,GOOD YIELD,GOOD YIELD
239,GOOD YIELD,AVERAGE YIELD
240,AVERAGE YIELD,BELOW AVERAGE YIELD
241,AVERAGE YIELD,AVERAGE YIELD
242,GOOD YIELD,POOR YIELD
243,GOOD YIELD,BELOW AVERAGE YIELD
244,GOOD YIELD,GOOD YIELD
245,POOR YIELD,POOR YIELD
246,GOOD YIELD,BELOW AVERAGE YIELD
247,GOOD YIELD,GOOD YIELD
248,GOOD YIELD,AVERAGE YIELD
249,GOOD YIELD,AVERAGE YIELD
250,POOR YIELD,GOOD YIELD
251,GOOD YIELD,POOR YIELD
252,AVERAGE YIELD,BELOW AVERAGE YIELD
253,GOOD YIELD,GOOD YIELD
254,GOOD YIELD,GOOD YIELD
255,GOOD YIELD,GOOD YIELD
256,AVERAGE YIELD,GOOD YIELD
257,AVERAGE YIELD,AVERAGE YIELD
258,GOOD YIELD,GOOD YIELD
259,AVERAGE YIELD,GOOD YIELD
260,POOR YIELD,POOR YIELD
261,BELOW AVERAGE YIELD,AVERAGE YIELD
262,GOOD YIELD,GOOD YIELD
263,GOOD YIELD,POOR YIELD
264,BELOW AVERAGE YIELD,BELOW AVERAGE YIELD
265,GOOD YIELD,GOOD YIELD
266,GOOD YIELD,GOOD YIELD
267,AVERAGE YIELD,GOOD YIELD
268,BELOW AVERAGE YIELD,GOOD YIELD
269,AVERAGE YIELD,GOOD YIELD
270,POOR YIELD,AVERAGE YIELD
271,BELOW AVERAGE YIELD,AVERAGE YIELD
272,GOOD YIELD,GOOD YIELD
273,AVERAGE YIELD,GOOD YIELD
274,GOOD YIELD,BELOW AVERAGE YIELD
275,BELOW AVERAGE YIELD,POOR YIELD
276,GOOD YIELD,GOOD YIELD
277,BELOW AVERAGE YIELD,GOOD YIELD
278,POOR YIELD,POOR YIELD
279,BELOW AVERAGE YIELD,POOR YIELD
280,GOOD YIELD,BELOW AVERAGE YIELD
281,BELOW AVERAGE YIELD,POOR YIELD
282,AVERAGE YIELD,AVERAGE YIELD
283,AVERAGE YIELD,AVERAGE YIELD
284,GOOD YIELD,AVERAGE YIELD
285,POOR YIELD,AVERAGE YIELD
286,AVERAGE YIELD,GOOD YIELD
287,AVERAGE YIELD,BELOW AVERAGE YIELD
288,AVERAGE YIELD,AVERAGE YIELD
