,Dataset,model_type,featurisation_method,epoch,learnin_rate,test_size,iterations,Stratification_type,RMSE,MAE,Correlation,Accuracy,Precession
0,subset_substrate,knn_classification,DRFP,,,0.2,10,no_stratification,,,,0.42528735632183906,0.4240119245190239
1,subset_substrate,knn_classification,RDkitFP,,,0.2,10,no_stratification,,,,0.3563218390804598,0.3545782560063472
