,Dataset,model_type,featurisation_method,epoch,learnin_rate,test_size,iterations,Stratified_split,RMSE,MAE,Correlation,Accuracy,Precession
0,Dataset2.3,knn_classification,DRFP,,,0.2,1,,,,,0.5368421052631579,0.5371999454446263
1,Dataset2.3,knn_classification,RDkitFP,,,0.2,1,,,,,0.4421052631578947,0.3188374125874126
