,Yields,Predicted Yields
0,35,47.42726052855925
1,72,65.38998135198136
2,95,67.61764056606162
3,40,60.620207184628235
4,73,73.70968925591951
5,69,36.97906043039087
6,85,67.39589427239427
7,0,75.00216666666667
8,0,8.05022619047619
9,32,52.76465097695115
10,86,49.19817140036606
11,54,71.91422331834832
12,50,69.48888888888888
13,78,65.52887185037184
14,19,66.54587903762904
15,40,55.17425738232354
16,69,27.77784702519901
17,23,61.63481818181818
18,52,57.7734322169059
19,92,72.08871825396824
20,40,39.698278668448125
21,51,81.90238095238095
22,0,36.29697751819962
23,20,39.27765834165834
24,82,61.75743347338936
25,1,41.75983518442341
26,80,52.76465097695115
27,58,53.153981035546416
28,31,32.24801039930398
29,0,24.619991661462226
30,34,29.696323060097992
31,85,57.54
32,74,65.08874875124874
33,23,26.575661187505307
34,95,58.71608333333334
35,74,64.22071428571428
36,78,62.813500000000005
37,78,64.68544261294261
38,90,72.3903546176046
39,95,58.39389592313822
40,78,76.39555555555556
41,45,51.92742570978326
42,30,11.36011403508772
43,79,61.764101731601734
44,96,70.78
45,80,64.82571494587285
46,46,53.153981035546416
47,78,61.85181818181818
48,50,41.75394736842105
49,0,5.519500000000001
50,96,55.17425738232354
51,83,41.878942986570635
52,20,30.356936649407235
53,86,71.95894736842106
54,86,47.63721125730994
55,86,69.77349194283977
56,78,72.97818722943722
57,12,41.75983518442341
58,85,68.35935800310799
59,35,61.461839105339116
60,52,53.153981035546416
61,34,34.54649928588036
62,46,65.99713547563547
63,1,32.26697619047618
64,98,58.39389592313822
65,93,63.653809523809514
66,1,32.11044155844155
67,90,66.39142857142856
68,20,32.24801039930398
69,1,27.77784702519901
70,90,84.58358333333334
71,31,27.77784702519901
72,1,58.39389592313822
73,37,41.75983518442341
74,73,59.70272727272727
75,74,73.773
76,52,54.72341176470588
77,47,27.77784702519901
78,13,41.75983518442341
79,56,64.45299855699855
80,90,25.364690476190468
81,1,33.64342125788763
82,53,58.39389592313822
83,53,75.22242424242424
84,61,76.14791666666666
85,1,32.11044155844155
86,84,72.78154487179488
87,51,47.791300532800534
88,19,41.75983518442341
89,70,65.39020369817659
90,14,42.06378485343348
91,18,46.40187847418282
92,35,57.54
93,1,46.95803921568628
94,59,76.77864456893869
95,60,60.614446275946285
96,66,55.17425738232354
97,31,73.49264311346548
98,41,32.24801039930398
99,68,53.153981035546416
100,58,67.02213333333334
101,1,27.77784702519901
102,0,30.855809523809523
103,94,64.45299855699855
104,65,41.878942986570635
105,69,52.76465097695115
106,99,72.13635304972803
107,71,51.026321969696966
108,76,72.08004901960786
109,1,20.10549041867955
110,65,79.25438095238094
111,61,67.22363636363636
112,98,68.87319444444444
113,43,79.63976470588236
114,49,25.351471434019835
115,80,77.65789743589742
116,25,72.12
117,1,53.153981035546416
118,96,27.77784702519901
119,27,44.07295753312406
120,0,48.85183977786918
121,39,32.24801039930398
122,0,12.118555258467023
123,80,41.75983518442341
124,25,12.333000000000002
125,41,25.364690476190468
126,86,67.98868452380951
127,52,55.17425738232354
128,80,46.2155844155844
129,88,63.025705128205125
130,95,53.153981035546416
131,78,61.02638325652842
132,70,73.05260714285716
133,0,57.546701388888884
134,75,62.306111111111115
135,94,61.675
136,98,64.16630303030303
137,17,58.39389592313822
138,95,41.75983518442341
139,86,68.30343972693973
140,48,56.83443308080808
141,95,39.27765834165834
142,54,53.45002197802198
143,70,32.24801039930398
144,33,52.91322348484849
145,89,48.610277777777775
146,98,43.76006335445637
147,47,53.153981035546416
148,65,72.06600961538462
149,53,66.3709176073926
150,15,41.75983518442341
151,0,28.560773319817436
152,17,37.37812321972938
153,94,47.86989285714286
154,0,55.17425738232354
155,65,64.84372222222223
156,15,27.77784702519901
157,0,49.026904761904774
158,88,69.1841452991453
159,11,26.567770643341422
160,85,70.34338461538462
161,49,60.59472222222222
162,70,56.25107457085399
163,90,69.61758294483293
164,60,65.39020369817659
165,75,42.06378485343348
166,0,38.543493871957395
167,0,19.664303273244784
168,0,37.37812321972938
169,37,63.010181704260646
170,44,41.491715225563915
171,1,40.08470588235294
172,72,43.76441032286426
173,0,39.27765834165834
174,45,41.878942986570635
175,0,70.62722222222223
176,12,41.75983518442341
177,58,61.0298988095238
178,93,81.3019806763285
179,35,68.105
180,49,41.878942986570635
181,42,46.210149859943975
182,85,61.256554445554436
183,96,53.09373737373737
184,75,64.24577075098814
185,93,81.26161111111111
186,8,24.619991661462226
187,53,62.708471153846155
188,69,62.49018518518518
