si no,Smiles,name
1,C1COCCO1,
2,CC#N,
3,CC(C)(O)C,
4,CC(C)CCO ,
5,CC(C)O  ,
6,CC1=CC=CC=C1,
7,CCO,
8,ClCCCl,
9,CN(C=O)C,
10,CN1CCCC1=O,
11,CO,
12,COC,
13,CS(C)=O,
14,O,
15,O1CCCC1,
16,O1CCOCC1,
17,OCCO,
