,Yields,Baseline,Predicted Yields,Origin,Coupling Partner
1873,34.0,38.68284789644013,8.341071428571428,optimization,Acetophenone
1874,5.0,38.68284789644013,20.392296356421355,optimization,Acetophenone
1875,1.0,38.68284789644013,20.73067857142857,optimization,1-ethynyl-4-methylbenzene
1876,35.0,65.51968503937007,46.48166666666666,scope,Nitrobenzene
1877,38.0,38.68284789644013,24.666,optimization,Acetophenone
1878,0.0,30.097560975609756,49.46780716765326,Optimization,Phenylacetylene
1879,98.0,38.68284789644013,66.13572933275873,optimization,Acetophenone
1880,67.0,38.68284789644013,70.35561904761904,optimization,phenylacetylene
1881,60.0,38.68284789644013,71.67744993894995,optimization,Acetophenone
1882,41.0,38.68284789644013,18.81175324675325,optimization,Acetophenone
1883,99.0,65.51968503937007,84.14827272727273,scope,1-ethynyl-4-methylbenzene
1884,70.0,38.68284789644013,41.39248520841904,optimization,Acetophenone
1885,49.0,38.68284789644013,12.722333333333335,optimization,Acetophenone
1886,1.0,38.68284789644013,10.830986679986681,optimization,1-ethynyl-4-methylbenzene
1887,75.0,38.68284789644013,49.75492532467533,optimization,Acetophenone
1888,83.0,38.68284789644013,74.66279653679652,optimization,phenylacetylene
1889,75.0,65.51968503937007,72.24883333333334,scope,Toluene
1890,1.0,38.68284789644013,42.03747222222222,optimization,Acetophenone
1891,66.0,65.51968503937007,65.618,scope,(trifluoromethyl)benzene
1892,14.0,38.68284789644013,10.609914321789322,optimization,Acetophenone
1893,33.0,38.68284789644013,41.39248520841904,optimization,Acetophenone
1894,88.0,38.68284789644013,62.11,optimization,Nitrobenzene
1895,20.0,30.097560975609756,52.54775323206205,Optimization,Phenylacetylene
1896,70.0,65.51968503937007,73.01350000000001,scope,1-ethynyl-4-methylbenzene
1897,51.0,38.68284789644013,55.445,optimization,1-ethynyl-4-methoxybenzene
1898,0.0,38.68284789644013,23.619349206349202,optimization,Acetophenone
1899,98.0,38.68284789644013,68.8775,optimization,Nitrobenzene
1900,42.0,38.68284789644013,18.3,optimization,Nitrobenzene
1901,63.0,65.51968503937007,78.02795238095237,scope,1-ethynyl-4-methylbenzene
1902,39.0,38.68284789644013,25.261261183261187,optimization,Acetophenone
1903,98.0,38.68284789644013,71.67744993894995,optimization,Acetophenone
1904,1.0,65.51968503937007,72.95562121212123,scope,phenylacetylene
1905,1.0,65.51968503937007,63.34164285714285,scope,Nitrobenzene
1906,38.0,38.68284789644013,31.64711212982924,optimization,1-ethynyl-4-methylbenzene
1907,72.0,65.51968503937007,48.67,scope,1-ethynyl-4-methoxybenzene
1908,75.0,65.51968503937007,54.68397619047618,scope,4-ethynylpyridine
1909,0.0,38.68284789644013,1.87,optimization,Acetophenone
1910,28.0,38.68284789644013,40.92925,optimization,Acetophenone
1911,80.0,65.51968503937007,77.74848484848485,scope,1-ethynyl-4-methoxybenzene
1912,61.0,38.68284789644013,63.61833333333333,optimization,1-ethynyl-4-methoxybenzene
1913,86.0,65.51968503937007,71.66,scope,Benzonitrile
1914,29.0,30.097560975609756,29.207589743589743,Optimization,Phenylacetylene
1915,8.0,38.68284789644013,33.358829365079366,optimization,Acetophenone
1916,0.0,38.68284789644013,10.106,optimization,Acetophenone
1917,70.0,65.51968503937007,62.66333333333332,scope,phenylacetylene
1918,25.0,30.097560975609756,31.19,Optimization,Phenylacetylene
1919,0.0,38.68284789644013,29.35,optimization,Nitrobenzene
1920,34.0,30.097560975609756,34.0895,Optimization,Phenylacetylene
1921,24.0,38.68284789644013,19.991753246753248,optimization,Acetophenone
1922,76.0,65.51968503937007,88.295,scope,Toluene
1923,96.0,38.68284789644013,48.35034986431699,optimization,1-ethynyl-4-methylbenzene
1924,43.0,49.42857142857143,57.048421052631575,Scope,Phenylacetylene
1925,96.0,65.51968503937007,59.939220779220776,scope,Anisole
1926,26.0,38.68284789644013,9.721666666666666,optimization,Phenylacetylene
1927,30.0,38.68284789644013,10.257750000000001,optimization,Acetophenone
1928,1.0,38.68284789644013,23.68466666666667,optimization,Nitrobenzene
1929,76.0,65.51968503937007,65.88066666666667,scope,Nitrobenzene
1930,83.0,65.51968503937007,76.37886363636363,scope,Benzene
1931,97.0,65.51968503937007,20.803,scope,Nitrobenzene
1932,10.0,38.68284789644013,18.356734265734268,optimization,1-ethynyl-4-methylbenzene
1933,0.0,38.68284789644013,45.585,optimization,Nitrobenzene
1934,1.0,38.68284789644013,13.101136363636364,optimization,Acetophenone
1935,49.0,65.51968503937007,42.43,scope,Benzonitrile
1936,94.0,38.68284789644013,67.4155476190476,optimization,Phenylacetylene
