Si.no,Smiles,Name
1,C[C@H](N)C(O)=O,
2,C1(C2=NC=CC=C2)=CC=CC=N1,
3,C1(P(C3=CC=CC=C3)C2=CC=CC=C2)=CC=CC=C1,
4,C12=CC=C3C(N=CC=C3)=C1N=CC=C2,
5,CC(/C(C)=N/O)=N\O,
6,CC(C(N)C(O)=O)C,
7,CC(CC(C)=O)=O,
8,CNCCNC,
9,N[C@H]1[C@H](N)CCCC1,
10,N1(CC2)CCN2CC1,
11,NC(C(O)=O)C(CC)C,
12,NC(C(O)=O)CC(C)C,
13,NCCN,
14,O[C@H]1[C@H](O)CCCC1,
15,O=C(C1=NC=CC=C1)O,
16,OC(C1CCCN1)=O,
17,OC1=[C@@]([C@@]2=C(O)C=CC3=C2C=CC=C3)C4=CC=CC=C4C=C1,
18,OC2=CC=CC1=CC=CN=C12,
19,OCCO,
